timestamp,packet_count,total_bytes
2025-07-24 16:13:00,355,159962
2025-07-24 16:14:00,1652,1016574
2025-07-24 16:15:00,1350,564776
2025-07-24 16:16:00,851,376898
2025-07-24 16:17:00,770,318876
2025-07-24 16:18:00,1265,566042
2025-07-24 16:19:00,4074,2798828
2025-07-24 16:20:00,1244,825736
2025-07-24 16:21:00,1152,504456
2025-07-24 16:22:00,8052,6897252
2025-07-24 16:23:00,900,359695
2025-07-24 16:24:00,1201,531638
2025-07-24 16:25:00,2245,1486170
2025-07-24 16:26:00,937,408394
2025-07-24 16:27:00,1049,444022
2025-07-24 16:28:00,1007,459702
2025-07-24 16:29:00,772,317558
2025-07-24 16:30:00,1125,464038
2025-07-24 16:31:00,662,259084
2025-07-24 16:32:00,1005,457202
2025-07-24 16:33:00,1185,556146
2025-07-24 16:34:00,1031,483306
2025-07-24 16:35:00,982,438168
2025-07-24 16:36:00,1189,540058
2025-07-24 16:37:00,734,292740
2025-07-24 16:38:00,821,374909
2025-07-24 16:39:00,883,391446
2025-07-24 16:40:00,991,441202
2025-07-24 16:41:00,983,430154
2025-07-24 16:42:00,1333,704566
2025-07-24 16:43:00,957,446906
2025-07-24 16:44:00,1181,530462
2025-07-24 16:45:00,1212,533552
2025-07-24 16:46:00,722,295936
2025-07-24 16:47:00,1201,540230
2025-07-24 16:48:00,830,346456
2025-07-24 16:49:00,616,268556
2025-07-24 16:50:00,3130,1865696
2025-07-24 16:51:00,8935,6149014
2025-07-24 16:52:00,1061,450846
2025-07-24 16:53:00,767,357521
2025-07-24 16:54:00,665,285454
2025-07-24 16:55:00,1097,510050
2025-07-24 16:56:00,972,423880
2025-07-24 16:57:00,477,179358
2025-07-24 16:58:00,1259,471856
2025-07-24 16:59:00,1299,581684
2025-07-24 17:00:00,1442,645832
2025-07-24 17:01:00,575,235646
2025-07-24 17:02:00,1080,472912
2025-07-24 17:03:00,1095,499678
2025-07-24 17:04:00,995,440942
2025-07-24 17:05:00,879,387438
2025-07-24 17:06:00,1208,657260
2025-07-24 17:07:00,1516,795140
2025-07-24 17:08:00,7718,6638355
2025-07-24 17:09:00,1153,602082
2025-07-24 17:10:00,1442,654700
2025-07-24 17:11:00,1364,720728
2025-07-24 17:12:00,719,302874
2025-07-24 17:13:00,1026,434352
2025-07-24 17:14:00,633,237784
2025-07-24 17:15:00,1005,462034
2025-07-24 17:16:00,888,414680
2025-07-24 17:17:00,867,398634
2025-07-24 17:18:00,748,344712
2025-07-24 17:19:00,1293,581434
2025-07-24 17:20:00,1467,927702
2025-07-24 17:21:00,836,336156
2025-07-24 17:22:00,719,255755
2025-07-24 17:23:00,1046,495255
2025-07-24 17:24:00,989,455490
2025-07-24 17:25:00,684,256992
2025-07-24 17:26:00,1031,468810
2025-07-24 17:27:00,1018,426073
2025-07-24 17:28:00,1093,499226
2025-07-24 17:29:00,731,286132
2025-07-24 17:30:00,914,372512
2025-07-24 17:31:00,1165,530486
2025-07-24 17:32:00,1222,520812
2025-07-24 17:33:00,812,356444
2025-07-24 17:34:00,654,303996
2025-07-24 17:35:00,886,386340
2025-07-24 17:36:00,1112,497384
2025-07-24 17:37:00,626,280672
2025-07-24 17:38:00,786,308968
2025-07-24 17:39:00,847,372298
2025-07-24 17:40:00,956,436764
2025-07-24 17:41:00,595,257878
2025-07-24 17:42:00,785,329906
2025-07-24 17:43:00,4585,3355082
2025-07-24 17:44:00,1063,380072
2025-07-24 17:45:00,545,226870
2025-07-24 17:46:00,519,218566
2025-07-24 17:47:00,1138,505584
2025-07-24 17:48:00,964,424268
2025-07-24 17:49:00,1084,494248
2025-07-24 17:50:00,926,391252
2025-07-24 17:51:00,753,332966
2025-07-24 17:52:00,816,365640
2025-07-24 17:53:00,971,426809
2025-07-24 17:54:00,834,356508
2025-07-24 17:55:00,734,302276
2025-07-24 17:56:00,589,229942
2025-07-24 17:57:00,1289,525610
2025-07-24 17:58:00,1068,475516
2025-07-24 17:59:00,853,359720
2025-07-24 18:00:00,977,385158
2025-07-24 18:01:00,951,408310
2025-07-24 18:02:00,6425,4684570
2025-07-24 18:03:00,856,367560
2025-07-24 18:04:00,946,403417
2025-07-24 18:05:00,1023,449706
2025-07-24 18:06:00,1041,454694
2025-07-24 18:07:00,1230,676380
2025-07-24 18:08:00,1051,476261
2025-07-24 18:09:00,785,338746
2025-07-24 18:10:00,1092,495440
2025-07-24 18:11:00,1737,890622
2025-07-24 18:12:00,648,262112
2025-07-24 18:13:00,646,276236
2025-07-24 18:14:00,1643,679216
2025-07-24 18:15:00,626,268476
2025-07-24 18:16:00,925,372930
2025-07-24 18:17:00,971,449130
2025-07-24 18:18:00,1088,497648
2025-07-24 18:19:00,822,327012
2025-07-24 18:20:00,1734,1085472
2025-07-24 18:21:00,1031,466546
2025-07-24 18:22:00,951,406774
2025-07-24 18:23:00,752,333839
2025-07-24 18:24:00,1121,501642
2025-07-24 18:25:00,671,259774
2025-07-24 18:26:00,671,283874
2025-07-24 18:27:00,745,319970
2025-07-24 18:28:00,1264,576964
2025-07-24 18:29:00,1599,622928
2025-07-24 18:30:00,1538,683552
2025-07-24 18:31:00,671,283342
2025-07-24 18:32:00,982,426796
2025-07-24 18:33:00,994,465756
2025-07-24 18:34:00,745,300738
2025-07-24 18:35:00,964,427344
2025-07-24 18:36:00,976,445488
2025-07-24 18:37:00,243,104750
2025-07-24 20:25:00,505,235122
2025-07-24 20:26:00,955,401618
2025-07-24 20:27:00,951,417162
2025-07-24 20:28:00,640,259576
2025-07-24 20:29:00,846,374994
2025-07-24 20:30:00,836,359916
2025-07-24 20:31:00,991,489526
2025-07-24 20:32:00,1195,533826
2025-07-24 20:33:00,822,351504
2025-07-24 20:34:00,1141,504042
2025-07-24 20:35:00,997,460198
2025-07-24 20:36:00,1055,498386
2025-07-24 20:37:00,750,335596
2025-07-24 20:38:00,2833,1736489
2025-07-24 20:39:00,871,378258
2025-07-24 20:40:00,630,237864
2025-07-24 20:41:00,888,401332
2025-07-24 20:42:00,1049,476918
2025-07-24 20:43:00,599,260286
2025-07-24 20:44:00,1753,897082
